,groupId,files,timeRun,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC
0,Shepherd_train05,10,20.351031065,0.0952083759293,0.0612247269449,0.8,0.2,19.0,0.0708001398374,0.675367567233,0.0896328686584
1,Shepherd_train32,10,18.2911770344,0.10259977977,0.055730151302,1.0,0.0,16.4,0.0666173261303,0.698367754001,0.0817947155484
2,Shepherd_train27,10,18.7485129833,0.105234412021,0.0593764614979,1.0,0.0,16.5,0.0675556646165,0.668706149143,0.012893288817
3,Unitarian_train13,10,23.7877700329,0.102001016338,0.0397684821569,1.0,0.0,19.8,0.104825493003,0.728158830306,0.0460706322251
4,MehrBaba_test01,10,10.1367380619,0.109531382734,0.0516418530141,0.9,0.1,17.4,0.261693609761,0.812877909355,0.17602199919
5,JohnPiper_train26,10,16.8354451656,0.0917690738362,0.0455016915602,1.0,0.0,16.3,0.0991469805988,0.771334258796,0.131799002169
6,Shepherd_train44,10,18.2350969315,0.0906002837002,0.0615058459035,0.8,0.2,16.6,0.0807936776086,0.624427425708,0.148622107144
7,JohnPiper_train04,10,15.5512359142,0.100214754664,0.0467729600033,0.9,0.1,18.9,0.119519077751,0.726484758821,0.253846828678
8,Shepherd_test15,10,18.6687850952,0.0971074563467,0.0512167072485,1.0,0.0,16.5,0.0683596883204,0.718334751648,0.0698777500009
9,Shepherd_test04,10,20.4220030308,0.0990412441639,0.0550954865944,1.0,0.0,16.8,0.0677696587894,0.667165740373,0.255296336056
10,JohnPiper_test02,10,17.6918268204,0.0891313839181,0.0574009136716,0.9,0.1,20.1,0.119006750202,0.761904199537,0.0780926123944
11,DorothyDay_test02,10,21.2857019901,0.0900693147418,0.0418190840873,1.0,0.0,25.2,0.178772327817,0.758860782111,0.28011095874
12,DorothyDay_test13,10,10.5730478764,0.0911895389884,0.032677588212,1.0,0.0,12.1,0.162866928772,0.767048831903,0.080539037207
13,Rabbinic_test02,10,15.4346139431,0.093352173202,0.0406493613878,1.0,0.0,23.7,0.254484766043,0.758420969054,0.130848250236
14,Unitarian_train07,10,26.5896949768,0.103369444125,0.0550363011948,1.0,0.0,28.8,0.120599481096,0.707919088659,0.0475330841497
15,DorothyDay_train29,10,17.3804218769,0.0925587499828,0.0316749763384,1.0,0.0,20.7,0.162797883862,0.769209525411,0.0856584326144
16,JohnPiper_train31,10,17.2578408718,0.107865949716,0.0449876757293,0.9,0.1,20.6,0.127694463305,0.735511762047,0.135628311893
17,WBC_train13,10,20.3849298954,0.0770870144556,0.0746664902536,0.3,0.7,27.1,0.188209955148,0.797349764594,0.21529162444
18,JohnPiper_test15,10,18.126128912,0.100935012442,0.0543652314068,0.9,0.1,23.2,0.134723187242,0.695164938228,0.192292640277
19,MehrBaba_train05,10,11.931289196,0.117018450002,0.0502140152842,1.0,0.0,14.1,0.176673443287,0.776227466343,0.308396106477
20,Shepherd_train10,10,16.8483121395,0.0920444082501,0.0571747094493,0.9,0.1,16.8,0.0848738413995,0.704981900926,0.0155864449604
21,Shepherd_train09,10,19.1843547821,0.0938886748306,0.0561787749229,1.0,0.0,16.5,0.0759335249079,0.738315154538,0.0725907750707
22,DorothyDay_train20,10,14.732270956,0.0882574047952,0.0384793292546,1.0,0.0,17.7,0.161034262792,0.836247694813,0.159092072465
23,JohnPiper_train38,10,17.9321138859,0.0929031922822,0.0555151134107,0.9,0.1,19.3,0.118223049667,0.774960559379,0.118181362916
24,PastorAnderson_test01,10,63.4039618969,0.0800281367078,0.0474076220421,0.9,0.1,51.7,0.0734476764489,0.793872469531,0.0996667579794
25,DorothyDay_train13,10,11.5886449814,0.0909524603024,0.041528372425,1.0,0.0,14.1,0.168902423143,0.816466612789,0.0858730535616
26,WBC_train00,10,21.0844798088,0.0893021526286,0.0778009937943,0.7,0.3,30.9,0.210181581906,0.80760927937,0.314919166802
27,DorothyDay_train41,10,10.7285568714,0.0908504113336,0.0331871027774,1.0,0.0,12.1,0.154902072913,0.819689786361,0.100076366262
28,WBC_test11,10,23.3190851212,0.0896489560146,0.0723597087708,0.6,0.4,35.3,0.205603315955,0.783661468379,0.191622911622
29,WBC_test09,10,23.1998820305,0.0811749558521,0.0721229655796,0.7,0.3,33.2,0.198088127607,0.803768819463,0.240974633652
30,Rabbinic_train04,10,13.3573958874,0.0938027939076,0.0307308863836,1.0,0.0,21.0,0.272657559591,0.7926998456,0.218160772793
31,MehrBaba_train02,10,12.9415171146,0.111863078728,0.0427163269735,1.0,0.0,20.2,0.281183284328,0.737998828338,0.0723939813641
