,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,2,0.01,0.01,linear,0,0,0.6363636363636364,50,10,3,auto,0.7575757575757576,3.0,0.1,rbf,0,0,0.8787878787878788,50,10,3,auto,0.7575757575757576
1,3,0.01,0.01,linear,0,0,0.6363636363636364,10,10,3,auto,0.7575757575757576,2.5,0.1,rbf,0,0,0.8181818181818182,10,10,3,auto,0.7575757575757576
2,4,0.01,0.01,linear,0,0,0.6363636363636364,25,10,3,auto,0.8484848484848485,2.5,0.01,rbf,0,0,0.8787878787878788,25,10,3,auto,0.8484848484848485
3,5,0.01,0.01,linear,0,0,0.6363636363636364,100,15,1,sqrt,0.8484848484848485,1.0,0.01,rbf,0,0,0.8484848484848485,100,15,1,sqrt,0.8484848484848485
4,6,0.01,0.01,linear,0,0,0.6363636363636364,10,10,1,sqrt,0.8181818181818182,1.5,0.01,rbf,0,0,0.8484848484848485,10,10,1,sqrt,0.8181818181818182
