,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,2,2.5,0.5,poly,4,3,0.8181818181818182,10,10,1,auto,0.8787878787878788,1.0,0.1,rbf,0,0,0.9090909090909091,10,10,1,auto,0.8787878787878788
1,3,1.5,0.5,poly,4,3,0.7575757575757576,10,15,3,sqrt,0.9696969696969697,2.5,0.5,rbf,0,0,0.9696969696969697,10,15,3,sqrt,0.9696969696969697
2,4,3.5,0.1,poly,4,3,0.7272727272727273,10,5,1,auto,0.8787878787878788,0.01,0.01,poly,4,2,0.9090909090909091,10,5,1,auto,0.8787878787878788
3,5,2.5,0.5,poly,4,3,0.7878787878787878,25,5,1,sqrt,0.9090909090909091,0.1,0.5,poly,4,3,0.9090909090909091,25,5,1,sqrt,0.9090909090909091
4,6,2.0,1.0,poly,4,3,0.7575757575757576,10,10,1,auto,0.9090909090909091,0.01,0.01,poly,4,3,0.9090909090909091,10,10,1,auto,0.9090909090909091
