,C,epsilon,kernel,degree,coef,accuracy
3300,3.0,0.05,poly,0,0,0.6632653061224489
3301,3.0,0.05,poly,0,1,0.6632653061224489
3302,3.0,0.05,poly,0,2,0.6632653061224489
3303,3.0,0.05,poly,0,3,0.6632653061224489
3304,3.0,0.05,poly,1,0,0.6836734693877551
3305,3.0,0.05,poly,1,1,0.7244897959183674
3306,3.0,0.05,poly,1,2,0.7244897959183674
3307,3.0,0.05,poly,1,3,0.7244897959183674
3308,3.0,0.05,poly,2,0,0.32653061224489793
3309,3.0,0.05,poly,2,1,0.02040816326530612
3310,3.0,0.05,poly,2,2,0.0
3311,3.0,0.05,poly,2,3,0.24489795918367346
3312,3.0,0.05,poly,3,0,0.0
3313,3.0,0.05,poly,3,1,0.0
3314,3.0,0.05,poly,3,2,0.0
3315,3.0,0.05,poly,3,3,0.0
3316,3.0,0.05,poly,4,0,0.0
3317,3.0,0.05,poly,4,1,0.0
3318,3.0,0.05,poly,4,2,0.0
3319,3.0,0.05,poly,4,3,0.0
3320,3.0,0.05,rbf,0,0,0.7959183673469388
3321,3.0,0.05,rbf,0,1,0.7959183673469388
3322,3.0,0.05,rbf,0,2,0.7959183673469388
3323,3.0,0.05,rbf,0,3,0.7959183673469388
3324,3.0,0.05,rbf,1,0,0.7959183673469388
3325,3.0,0.05,rbf,1,1,0.7959183673469388
3326,3.0,0.05,rbf,1,2,0.7959183673469388
3327,3.0,0.05,rbf,1,3,0.7959183673469388
3328,3.0,0.05,rbf,2,0,0.7959183673469388
3329,3.0,0.05,rbf,2,1,0.7959183673469388
3330,3.0,0.05,rbf,2,2,0.7959183673469388
3331,3.0,0.05,rbf,2,3,0.7959183673469388
3332,3.0,0.05,rbf,3,0,0.7959183673469388
3333,3.0,0.05,rbf,3,1,0.7959183673469388
3334,3.0,0.05,rbf,3,2,0.7959183673469388
3335,3.0,0.05,rbf,3,3,0.7959183673469388
3336,3.0,0.05,rbf,4,0,0.7959183673469388
3337,3.0,0.05,rbf,4,1,0.7959183673469388
3338,3.0,0.05,rbf,4,2,0.7959183673469388
3339,3.0,0.05,rbf,4,3,0.7959183673469388
3340,3.0,0.05,sigmoid,0,0,0.6632653061224489
3341,3.0,0.05,sigmoid,0,1,0.6632653061224489
3342,3.0,0.05,sigmoid,0,2,0.6632653061224489
3343,3.0,0.05,sigmoid,0,3,0.6632653061224489
3344,3.0,0.05,sigmoid,1,0,0.6632653061224489
3345,3.0,0.05,sigmoid,1,1,0.6632653061224489
3346,3.0,0.05,sigmoid,1,2,0.6632653061224489
3347,3.0,0.05,sigmoid,1,3,0.6632653061224489
3348,3.0,0.05,sigmoid,2,0,0.6632653061224489
3349,3.0,0.05,sigmoid,2,1,0.6632653061224489
3350,3.0,0.05,sigmoid,2,2,0.6632653061224489
3351,3.0,0.05,sigmoid,2,3,0.6632653061224489
3352,3.0,0.05,sigmoid,3,0,0.6632653061224489
3353,3.0,0.05,sigmoid,3,1,0.6632653061224489
3354,3.0,0.05,sigmoid,3,2,0.6632653061224489
3355,3.0,0.05,sigmoid,3,3,0.6632653061224489
3356,3.0,0.05,sigmoid,4,0,0.6632653061224489
3357,3.0,0.05,sigmoid,4,1,0.6632653061224489
3358,3.0,0.05,sigmoid,4,2,0.6632653061224489
3359,3.0,0.05,sigmoid,4,3,0.6632653061224489
3360,3.0,0.1,linear,0,0,0.7244897959183674
3361,3.0,0.1,linear,0,1,0.7244897959183674
3362,3.0,0.1,linear,0,2,0.7244897959183674
3363,3.0,0.1,linear,0,3,0.7244897959183674
3364,3.0,0.1,linear,1,0,0.7244897959183674
3365,3.0,0.1,linear,1,1,0.7244897959183674
3366,3.0,0.1,linear,1,2,0.7244897959183674
3367,3.0,0.1,linear,1,3,0.7244897959183674
3368,3.0,0.1,linear,2,0,0.7244897959183674
3369,3.0,0.1,linear,2,1,0.7244897959183674
3370,3.0,0.1,linear,2,2,0.7244897959183674
3371,3.0,0.1,linear,2,3,0.7244897959183674
3372,3.0,0.1,linear,3,0,0.7244897959183674
3373,3.0,0.1,linear,3,1,0.7244897959183674
3374,3.0,0.1,linear,3,2,0.7244897959183674
3375,3.0,0.1,linear,3,3,0.7244897959183674
3376,3.0,0.1,linear,4,0,0.7244897959183674
3377,3.0,0.1,linear,4,1,0.7244897959183674
3378,3.0,0.1,linear,4,2,0.7244897959183674
3379,3.0,0.1,linear,4,3,0.7244897959183674
3380,3.0,0.1,poly,0,0,0.6632653061224489
3381,3.0,0.1,poly,0,1,0.6632653061224489
3382,3.0,0.1,poly,0,2,0.6632653061224489
3383,3.0,0.1,poly,0,3,0.6632653061224489
3384,3.0,0.1,poly,1,0,0.7244897959183674
