,estimator,depth,bs,split,feature,accuracy
0,10,5,True,1,auto,0.8367346938775511
1,10,5,True,2,auto,0.8367346938775511
2,10,5,True,3,auto,0.8367346938775511
3,10,5,True,1,sqrt,0.826530612244898
4,10,5,True,2,sqrt,0.826530612244898
5,10,5,True,3,sqrt,0.826530612244898
6,10,5,True,1,log2,0.826530612244898
7,10,5,True,2,log2,0.826530612244898
8,10,5,True,3,log2,0.826530612244898
9,10,5,False,1,auto,0.826530612244898
10,10,5,False,2,auto,0.826530612244898
11,10,5,False,3,auto,0.826530612244898
12,10,5,False,1,sqrt,0.8673469387755102
13,10,5,False,2,sqrt,0.8673469387755102
14,10,5,False,3,sqrt,0.8775510204081632
15,10,5,False,1,log2,0.8673469387755102
16,10,5,False,2,log2,0.8673469387755102
17,10,5,False,3,log2,0.8775510204081632
18,10,10,True,1,auto,0.8367346938775511
19,10,10,True,2,auto,0.8367346938775511
20,10,10,True,3,auto,0.8469387755102041
21,10,10,True,1,sqrt,0.826530612244898
22,10,10,True,2,sqrt,0.826530612244898
23,10,10,True,3,sqrt,0.8367346938775511
24,10,10,True,1,log2,0.826530612244898
25,10,10,True,2,log2,0.826530612244898
26,10,10,True,3,log2,0.8367346938775511
27,10,10,False,1,auto,0.7857142857142857
28,10,10,False,2,auto,0.7857142857142857
29,10,10,False,3,auto,0.7857142857142857
30,10,10,False,1,sqrt,0.8775510204081632
31,10,10,False,2,sqrt,0.8775510204081632
32,10,10,False,3,sqrt,0.8775510204081632
33,10,10,False,1,log2,0.8775510204081632
34,10,10,False,2,log2,0.8775510204081632
35,10,10,False,3,log2,0.8775510204081632
36,10,15,True,1,auto,0.8367346938775511
37,10,15,True,2,auto,0.8367346938775511
38,10,15,True,3,auto,0.8469387755102041
39,10,15,True,1,sqrt,0.8163265306122449
40,10,15,True,2,sqrt,0.8163265306122449
41,10,15,True,3,sqrt,0.8367346938775511
42,10,15,True,1,log2,0.8163265306122449
43,10,15,True,2,log2,0.8163265306122449
44,10,15,True,3,log2,0.8367346938775511
45,10,15,False,1,auto,0.7857142857142857
46,10,15,False,2,auto,0.7857142857142857
47,10,15,False,3,auto,0.7857142857142857
48,10,15,False,1,sqrt,0.8775510204081632
49,10,15,False,2,sqrt,0.8775510204081632
50,10,15,False,3,sqrt,0.8775510204081632
51,10,15,False,1,log2,0.8775510204081632
52,10,15,False,2,log2,0.8775510204081632
53,10,15,False,3,log2,0.8775510204081632
54,10,20,True,1,auto,0.8367346938775511
55,10,20,True,2,auto,0.8367346938775511
56,10,20,True,3,auto,0.8469387755102041
57,10,20,True,1,sqrt,0.8163265306122449
58,10,20,True,2,sqrt,0.8163265306122449
59,10,20,True,3,sqrt,0.8367346938775511
60,10,20,True,1,log2,0.8163265306122449
61,10,20,True,2,log2,0.8163265306122449
62,10,20,True,3,log2,0.8367346938775511
63,10,20,False,1,auto,0.7857142857142857
64,10,20,False,2,auto,0.7857142857142857
65,10,20,False,3,auto,0.7857142857142857
66,10,20,False,1,sqrt,0.8775510204081632
67,10,20,False,2,sqrt,0.8775510204081632
68,10,20,False,3,sqrt,0.8775510204081632
69,10,20,False,1,log2,0.8775510204081632
70,10,20,False,2,log2,0.8775510204081632
71,10,20,False,3,log2,0.8775510204081632
72,10,25,True,1,auto,0.8367346938775511
73,10,25,True,2,auto,0.8367346938775511
74,10,25,True,3,auto,0.8469387755102041
75,10,25,True,1,sqrt,0.8163265306122449
76,10,25,True,2,sqrt,0.8163265306122449
77,10,25,True,3,sqrt,0.8367346938775511
78,10,25,True,1,log2,0.8163265306122449
79,10,25,True,2,log2,0.8163265306122449
80,10,25,True,3,log2,0.8367346938775511
81,10,25,False,1,auto,0.7857142857142857
82,10,25,False,2,auto,0.7857142857142857
83,10,25,False,3,auto,0.7857142857142857
84,10,25,False,1,sqrt,0.8775510204081632
85,10,25,False,2,sqrt,0.8775510204081632
86,10,25,False,3,sqrt,0.8775510204081632
87,10,25,False,1,log2,0.8775510204081632
88,10,25,False,2,log2,0.8775510204081632
89,10,25,False,3,log2,0.8775510204081632
90,10,30,True,1,auto,0.8367346938775511
91,10,30,True,2,auto,0.8367346938775511
92,10,30,True,3,auto,0.8469387755102041
93,10,30,True,1,sqrt,0.8163265306122449
94,10,30,True,2,sqrt,0.8163265306122449
95,10,30,True,3,sqrt,0.8367346938775511
96,10,30,True,1,log2,0.8163265306122449
97,10,30,True,2,log2,0.8163265306122449
98,10,30,True,3,log2,0.8367346938775511
99,10,30,False,1,auto,0.7857142857142857
100,10,30,False,2,auto,0.7857142857142857
101,10,30,False,3,auto,0.7857142857142857
102,10,30,False,1,sqrt,0.8775510204081632
103,10,30,False,2,sqrt,0.8775510204081632
104,10,30,False,3,sqrt,0.8775510204081632
105,10,30,False,1,log2,0.8775510204081632
106,10,30,False,2,log2,0.8775510204081632
107,10,30,False,3,log2,0.8775510204081632
108,25,5,True,1,auto,0.8673469387755102
109,25,5,True,2,auto,0.8673469387755102
110,25,5,True,3,auto,0.8673469387755102
111,25,5,True,1,sqrt,0.826530612244898
112,25,5,True,2,sqrt,0.826530612244898
113,25,5,True,3,sqrt,0.8367346938775511
114,25,5,True,1,log2,0.826530612244898
115,25,5,True,2,log2,0.826530612244898
116,25,5,True,3,log2,0.8367346938775511
117,25,5,False,1,auto,0.826530612244898
118,25,5,False,2,auto,0.826530612244898
119,25,5,False,3,auto,0.826530612244898
120,25,5,False,1,sqrt,0.8571428571428571
121,25,5,False,2,sqrt,0.8571428571428571
122,25,5,False,3,sqrt,0.826530612244898
123,25,5,False,1,log2,0.8571428571428571
124,25,5,False,2,log2,0.8571428571428571
125,25,5,False,3,log2,0.826530612244898
126,25,10,True,1,auto,0.8469387755102041
127,25,10,True,2,auto,0.8469387755102041
128,25,10,True,3,auto,0.8571428571428571
129,25,10,True,1,sqrt,0.8367346938775511
130,25,10,True,2,sqrt,0.8367346938775511
131,25,10,True,3,sqrt,0.8469387755102041
132,25,10,True,1,log2,0.8367346938775511
133,25,10,True,2,log2,0.8367346938775511
134,25,10,True,3,log2,0.8469387755102041
135,25,10,False,1,auto,0.7959183673469388
136,25,10,False,2,auto,0.7959183673469388
137,25,10,False,3,auto,0.7959183673469388
138,25,10,False,1,sqrt,0.8877551020408163
139,25,10,False,2,sqrt,0.8877551020408163
140,25,10,False,3,sqrt,0.8775510204081632
141,25,10,False,1,log2,0.8877551020408163
142,25,10,False,2,log2,0.8877551020408163
143,25,10,False,3,log2,0.8775510204081632
144,25,15,True,1,auto,0.8469387755102041
145,25,15,True,2,auto,0.8469387755102041
146,25,15,True,3,auto,0.8571428571428571
147,25,15,True,1,sqrt,0.8367346938775511
148,25,15,True,2,sqrt,0.8367346938775511
149,25,15,True,3,sqrt,0.8469387755102041
150,25,15,True,1,log2,0.8367346938775511
151,25,15,True,2,log2,0.8367346938775511
152,25,15,True,3,log2,0.8469387755102041
153,25,15,False,1,auto,0.7959183673469388
154,25,15,False,2,auto,0.7959183673469388
155,25,15,False,3,auto,0.7959183673469388
156,25,15,False,1,sqrt,0.8877551020408163
157,25,15,False,2,sqrt,0.8877551020408163
158,25,15,False,3,sqrt,0.8775510204081632
159,25,15,False,1,log2,0.8877551020408163
160,25,15,False,2,log2,0.8877551020408163
161,25,15,False,3,log2,0.8775510204081632
162,25,20,True,1,auto,0.8469387755102041
163,25,20,True,2,auto,0.8469387755102041
164,25,20,True,3,auto,0.8571428571428571
165,25,20,True,1,sqrt,0.8367346938775511
166,25,20,True,2,sqrt,0.8367346938775511
167,25,20,True,3,sqrt,0.8469387755102041
168,25,20,True,1,log2,0.8367346938775511
169,25,20,True,2,log2,0.8367346938775511
170,25,20,True,3,log2,0.8469387755102041
171,25,20,False,1,auto,0.7959183673469388
172,25,20,False,2,auto,0.7959183673469388
173,25,20,False,3,auto,0.7959183673469388
174,25,20,False,1,sqrt,0.8877551020408163
175,25,20,False,2,sqrt,0.8877551020408163
176,25,20,False,3,sqrt,0.8775510204081632
177,25,20,False,1,log2,0.8877551020408163
178,25,20,False,2,log2,0.8877551020408163
179,25,20,False,3,log2,0.8775510204081632
180,25,25,True,1,auto,0.8469387755102041
181,25,25,True,2,auto,0.8469387755102041
182,25,25,True,3,auto,0.8571428571428571
183,25,25,True,1,sqrt,0.8367346938775511
184,25,25,True,2,sqrt,0.8367346938775511
185,25,25,True,3,sqrt,0.8469387755102041
186,25,25,True,1,log2,0.8367346938775511
187,25,25,True,2,log2,0.8367346938775511
188,25,25,True,3,log2,0.8469387755102041
189,25,25,False,1,auto,0.7959183673469388
190,25,25,False,2,auto,0.7959183673469388
191,25,25,False,3,auto,0.7959183673469388
192,25,25,False,1,sqrt,0.8877551020408163
193,25,25,False,2,sqrt,0.8877551020408163
194,25,25,False,3,sqrt,0.8775510204081632
195,25,25,False,1,log2,0.8877551020408163
196,25,25,False,2,log2,0.8877551020408163
197,25,25,False,3,log2,0.8775510204081632
198,25,30,True,1,auto,0.8469387755102041
199,25,30,True,2,auto,0.8469387755102041
200,25,30,True,3,auto,0.8571428571428571
201,25,30,True,1,sqrt,0.8367346938775511
202,25,30,True,2,sqrt,0.8367346938775511
203,25,30,True,3,sqrt,0.8469387755102041
204,25,30,True,1,log2,0.8367346938775511
205,25,30,True,2,log2,0.8367346938775511
206,25,30,True,3,log2,0.8469387755102041
207,25,30,False,1,auto,0.7959183673469388
208,25,30,False,2,auto,0.7959183673469388
209,25,30,False,3,auto,0.7959183673469388
210,25,30,False,1,sqrt,0.8877551020408163
211,25,30,False,2,sqrt,0.8877551020408163
212,25,30,False,3,sqrt,0.8775510204081632
213,25,30,False,1,log2,0.8877551020408163
214,25,30,False,2,log2,0.8877551020408163
215,25,30,False,3,log2,0.8775510204081632
216,50,5,True,1,auto,0.8673469387755102
217,50,5,True,2,auto,0.8673469387755102
218,50,5,True,3,auto,0.8673469387755102
219,50,5,True,1,sqrt,0.8367346938775511
220,50,5,True,2,sqrt,0.8367346938775511
221,50,5,True,3,sqrt,0.8367346938775511
222,50,5,True,1,log2,0.8367346938775511
223,50,5,True,2,log2,0.8367346938775511
224,50,5,True,3,log2,0.8367346938775511
225,50,5,False,1,auto,0.8163265306122449
226,50,5,False,2,auto,0.8163265306122449
227,50,5,False,3,auto,0.8163265306122449
228,50,5,False,1,sqrt,0.8775510204081632
229,50,5,False,2,sqrt,0.8775510204081632
230,50,5,False,3,sqrt,0.8673469387755102
231,50,5,False,1,log2,0.8775510204081632
232,50,5,False,2,log2,0.8775510204081632
233,50,5,False,3,log2,0.8673469387755102
234,50,10,True,1,auto,0.8673469387755102
235,50,10,True,2,auto,0.8673469387755102
236,50,10,True,3,auto,0.8673469387755102
237,50,10,True,1,sqrt,0.8571428571428571
238,50,10,True,2,sqrt,0.8571428571428571
239,50,10,True,3,sqrt,0.8673469387755102
240,50,10,True,1,log2,0.8571428571428571
241,50,10,True,2,log2,0.8571428571428571
242,50,10,True,3,log2,0.8673469387755102
243,50,10,False,1,auto,0.7959183673469388
244,50,10,False,2,auto,0.7959183673469388
245,50,10,False,3,auto,0.7959183673469388
246,50,10,False,1,sqrt,0.8673469387755102
247,50,10,False,2,sqrt,0.8673469387755102
248,50,10,False,3,sqrt,0.8877551020408163
249,50,10,False,1,log2,0.8673469387755102
250,50,10,False,2,log2,0.8673469387755102
251,50,10,False,3,log2,0.8877551020408163
252,50,15,True,1,auto,0.8673469387755102
253,50,15,True,2,auto,0.8673469387755102
254,50,15,True,3,auto,0.8673469387755102
255,50,15,True,1,sqrt,0.8469387755102041
256,50,15,True,2,sqrt,0.8469387755102041
257,50,15,True,3,sqrt,0.8877551020408163
258,50,15,True,1,log2,0.8469387755102041
259,50,15,True,2,log2,0.8469387755102041
260,50,15,True,3,log2,0.8877551020408163
261,50,15,False,1,auto,0.7959183673469388
262,50,15,False,2,auto,0.7959183673469388
263,50,15,False,3,auto,0.7959183673469388
264,50,15,False,1,sqrt,0.8673469387755102
265,50,15,False,2,sqrt,0.8673469387755102
266,50,15,False,3,sqrt,0.8877551020408163
267,50,15,False,1,log2,0.8673469387755102
268,50,15,False,2,log2,0.8673469387755102
269,50,15,False,3,log2,0.8877551020408163
270,50,20,True,1,auto,0.8673469387755102
271,50,20,True,2,auto,0.8673469387755102
272,50,20,True,3,auto,0.8673469387755102
273,50,20,True,1,sqrt,0.8469387755102041
274,50,20,True,2,sqrt,0.8469387755102041
275,50,20,True,3,sqrt,0.8877551020408163
276,50,20,True,1,log2,0.8469387755102041
277,50,20,True,2,log2,0.8469387755102041
278,50,20,True,3,log2,0.8877551020408163
279,50,20,False,1,auto,0.7959183673469388
280,50,20,False,2,auto,0.7959183673469388
281,50,20,False,3,auto,0.7959183673469388
282,50,20,False,1,sqrt,0.8673469387755102
283,50,20,False,2,sqrt,0.8673469387755102
284,50,20,False,3,sqrt,0.8877551020408163
285,50,20,False,1,log2,0.8673469387755102
286,50,20,False,2,log2,0.8673469387755102
287,50,20,False,3,log2,0.8877551020408163
