,groupId,files,timeRun,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC
0,Shepherd_train05,10,53.983093977,0.106990108866,0.0493921668717,1.0,0.0,15.7,0.0586251672063,0.413508189745,0.332059387554
1,Shepherd_train32,10,39.7300751209,0.0956898828275,0.0551117181944,1.0,0.0,17.2,0.083654732116,0.473204715983,0.218365144882
2,Shepherd_train27,10,51.4430098534,0.0997427948821,0.0597580913374,0.9,0.1,16.0,0.0647774013582,0.456785242218,0.335494234076
3,Unitarian_train13,10,61.0716609955,0.0930916673395,0.0643606942611,0.8,0.2,23.8,0.123773021449,0.557274706857,0.312369402716
4,MehrBaba_test01,10,22.3263921738,0.108478281944,0.0478302947317,1.0,0.0,16.7,0.280103019351,0.599850187502,0.55247139612
5,JohnPiper_train26,10,40.6763908863,0.0907373617868,0.0594414915727,0.9,0.1,22.9,0.137092133163,0.499103555041,0.329761528655
6,Shepherd_train44,10,42.5238101482,0.0984196459148,0.0541180581182,1.0,0.0,15.4,0.0748210563411,0.479066360061,0.499413914964
7,JohnPiper_train04,10,42.8466970921,0.110981802829,0.0428121540777,0.9,0.1,19.8,0.141070818302,0.528384510387,0.534619791274
8,Shepherd_test15,10,48.1236951351,0.0990624259431,0.0575886791981,1.0,0.0,17.5,0.0761257098969,0.487923321796,0.500563372206
9,Shepherd_test04,10,45.6018679142,0.0997866245104,0.0536975272344,1.0,0.0,18.5,0.0827941926597,0.417590159431,0.441303926112
10,JohnPiper_test02,10,43.750505209,0.0855835859392,0.0480119366593,0.9,0.1,19.8,0.117107727787,0.572333024837,0.403573269126
11,DorothyDay_test02,10,31.7379341125,0.0936832646286,0.0354194971447,1.0,0.0,14.6,0.130324377051,0.551756959402,0.706905895606
12,DorothyDay_test13,10,24.8106100559,0.0892755176861,0.03862573828,1.0,0.0,13.0,0.133655235411,0.555287129607,0.428878414613
13,Rabbinic_test02,10,32.0411400795,0.0912686518383,0.0403696603591,1.0,0.0,21.4,0.270600759184,0.578560517289,0.421738596894
14,Unitarian_train07,10,63.4169518948,0.102894229066,0.0501798685173,1.0,0.0,27.5,0.111375241593,0.462761705713,0.327024156929
15,DorothyDay_train29,10,31.8189320564,0.0848576336402,0.0360703696484,1.0,0.0,16.1,0.170571708227,0.541810643559,0.400159743764
16,JohnPiper_train31,10,40.2772610188,0.0910219376694,0.0509409886183,1.0,0.0,17.2,0.110391398298,0.49420819719,0.475061345644
17,WBC_train13,10,52.4140110016,0.0819177373125,0.0735735557104,0.6,0.4,27.8,0.17612509851,0.573056219733,0.335150229712
18,JohnPiper_test15,10,33.8833911419,0.101433632633,0.0531800051186,1.0,0.0,19.7,0.125312635875,0.543502932873,0.38057121061
19,MehrBaba_train05,10,36.9621031284,0.109915573106,0.0431778725323,1.0,0.0,27.4,0.301231852177,0.598184812092,0.465265228851
20,Shepherd_train10,10,51.0668959618,0.0968822770783,0.0524230984482,1.0,0.0,16.9,0.0539962986988,0.491941739709,0.563767152597
21,Shepherd_train09,10,46.5113658905,0.0908465376702,0.0539099409531,1.0,0.0,16.0,0.0760298479595,0.487602940642,0.40523086519
22,DorothyDay_train20,10,38.5224459171,0.0959707931205,0.0476368812962,0.9,0.1,16.6,0.150103201459,0.524551369665,0.367451038827
23,JohnPiper_train38,10,38.2014510632,0.0975794952287,0.0442191526913,1.0,0.0,21.8,0.143614687044,0.543189521597,0.439872695727
24,PastorAnderson_test01,10,181.925918102,0.0818426335903,0.052876474643,1.0,0.0,68.9,0.0880328036357,0.559630098223,0.411031470915
25,DorothyDay_train13,10,29.6263911724,0.0884667044251,0.0394970904906,1.0,0.0,14.9,0.168185953788,0.611556720297,0.402707861957
26,WBC_train00,10,57.2648701668,0.0893716733149,0.0760962324,0.5,0.5,40.0,0.216557586229,0.538421427922,0.456995630735
