"","t.cvCosineSim.","groupName"
"X0",0.988445649199048,"PastorAnderson_train13"
"V2",0.987240474926674,"PastorAnderson_train13"
"V3",0.987312134591828,"PastorAnderson_train13"
"V4",0.988107136440024,"PastorAnderson_train13"
"V5",0.9871234668252,"PastorAnderson_train13"
"V6",0.986412306654908,"PastorAnderson_train13"
"V7",0.987734844315041,"PastorAnderson_train13"
"V8",0.988728903659798,"PastorAnderson_train13"
"V9",0.988927923337756,"PastorAnderson_train13"
"V10",0.987385672297418,"PastorAnderson_train13"
