"","t.cvCosineSim.","groupName"
"X0",0.989619193869706,"PastorAnderson_train5"
"V2",0.989445169827129,"PastorAnderson_train5"
"V3",0.990789076916923,"PastorAnderson_train5"
"V4",0.98878270574614,"PastorAnderson_train5"
"V5",0.988598043028177,"PastorAnderson_train5"
"V6",0.989623536512811,"PastorAnderson_train5"
"V7",0.989771029796146,"PastorAnderson_train5"
"V8",0.990964408511089,"PastorAnderson_train5"
"V9",0.99025530141282,"PastorAnderson_train5"
"V10",0.989650879214179,"PastorAnderson_train5"
