"","Topic_1","Topic_2","Topic_3","Topic_4","Topic_5","Topic_6","Topic_7","Topic_8","Topic_9","Topic_10","Topic_11","Topic_12","Topic_13","Topic_14","Topic_15","Topic_16","Topic_17","Topic_18","Topic_19","Topic_20","Topic_21","Topic_22","Topic_23","Topic_24","Topic_25","Topic_26","Topic_27","Topic_28","Topic_29","Topic_30","Topic_31","Topic_32","Topic_33","Topic_34","Topic_35","Topic_36","Topic_37","Topic_38","Topic_39","Topic_40","Topic_41","Topic_42","Topic_43","Topic_44","Topic_45","Topic_46","Topic_47","Topic_48","Topic_49","Topic_50","GroupID"
"DorothyDay_365",3.62644303885569e-05,3.62644303885197e-05,0.09875254699046,3.6264430388553e-05,3.62644303885216e-05,3.62644303885712e-05,3.62644303884837e-05,3.6264430388554e-05,0.0414215251158215,3.62644303885089e-05,0.175789744138019,3.62644303885041e-05,3.62644303885404e-05,3.62644303884382e-05,0.203053171318166,3.62644303885442e-05,3.62644303884953e-05,0.0477570111748186,3.62644303885413e-05,3.62644303885319e-05,3.62644303885202e-05,3.62644303885729e-05,3.62644303885386e-05,3.6264430388554e-05,3.6264430388534e-05,3.62644303885303e-05,0.34379445773239,3.62644303885507e-05,3.62644303885319e-05,3.62644303885555e-05,3.62644303885176e-05,3.62644303885209e-05,3.62644303885583e-05,3.62644303885395e-05,0.0878721730236188,3.62644303885735e-05,3.62644303885093e-05,3.62644303884978e-05,3.62644303885017e-05,3.62644303885424e-05,3.62644303885352e-05,3.62644303885517e-05,3.62644303885278e-05,3.62644303884964e-05,3.62644303885388e-05,3.62644303884977e-05,3.62644303885538e-05,3.62644303885657e-05,3.62644303885989e-05,3.62644303884948e-05,"DorothyDay_train11"
"DorothyDay_526",3.98483139817521e-05,3.98483139817219e-05,0.0675097046250955,3.98483139817363e-05,3.98483139817433e-05,3.98483139817114e-05,3.98483139817101e-05,3.98483139817488e-05,3.98483139817357e-05,0.0334609248403507,3.98483139817434e-05,3.98483139817269e-05,3.98483139816803e-05,3.98483139817103e-05,0.0212924547094949,3.98483139817536e-05,3.984831398172e-05,3.98483139817443e-05,3.98483139817252e-05,3.98483139817473e-05,0.0237265805756536,3.98483139818064e-05,3.98483139817461e-05,0.0275981659532822,3.98483139817373e-05,3.98483139817516e-05,3.98483139816784e-05,3.98483139817053e-05,3.98483139817464e-05,3.98483139817455e-05,3.98483139817357e-05,3.98483139817632e-05,3.98483139817382e-05,3.98483139817553e-05,3.98483139817338e-05,3.9848313981764e-05,3.98483139817336e-05,0.0358097315887734,3.98483139817354e-05,3.98483139817556e-05,3.98483139817688e-05,3.98483139816939e-05,3.98483139817522e-05,0.770057288335776,3.98483139817584e-05,3.98483139817323e-05,3.98483139817284e-05,3.98483139817544e-05,3.9848313981724e-05,0.0188715201843406,"DorothyDay_train11"
"DorothyDay_79",1.52730477872998e-05,1.52730477872675e-05,0.0224454096371116,1.52730477872917e-05,0.0530952746210784,1.52730477872778e-05,1.52730477872463e-05,1.52730477872581e-05,0.0934147094212675,1.52730477872835e-05,1.52730477873076e-05,1.52730477873003e-05,1.52730477872576e-05,0.496551343942595,1.52730477874187e-05,1.52730477872401e-05,1.52730477873282e-05,1.52730477873018e-05,1.52730477872172e-05,1.52730477872396e-05,1.527304778731e-05,1.52730477872919e-05,1.52730477872585e-05,1.52730477872933e-05,1.52730477873089e-05,1.5273047787332e-05,0.113156478748582,1.52730477872329e-05,0.0211372930887925,1.527304778732e-05,1.52730477873118e-05,1.52730477873723e-05,0.0297911789347387,1.52730477872262e-05,1.52730477872574e-05,1.52730477872591e-05,1.52730477873664e-05,1.52730477872471e-05,1.52730477872906e-05,1.52730477872797e-05,1.52730477872954e-05,1.52730477873443e-05,1.52730477872857e-05,0.147388152524783,1.52730477872952e-05,1.52730477873111e-05,0.0110009516231413,1.5273047787286e-05,1.52730477872747e-05,0.0114082855464184,"DorothyDay_train11"
"DorothyDay_19",1.13539794900015e-05,0.0271667160136635,0.0461264813750295,1.13539794899739e-05,1.13539794900637e-05,1.13539794900077e-05,1.1353979490038e-05,1.13539794900471e-05,1.13539794900725e-05,1.13539794900228e-05,0.579519820211636,1.13539794899994e-05,1.13539794899989e-05,0.0287992241100259,1.13539794901065e-05,1.13539794900727e-05,1.135397949025e-05,1.13539794899947e-05,1.13539794900761e-05,1.13539794900476e-05,1.13539794899797e-05,1.13539794902049e-05,1.13539794899031e-05,1.13539794900969e-05,1.13539794900665e-05,1.13539794900579e-05,0.0288094070603168,1.13539794900151e-05,0.00831363934117113,1.13539794900325e-05,1.13539794900431e-05,1.13539794900247e-05,1.13539794900304e-05,1.13539794899692e-05,0.123540410326285,1.13539794899341e-05,0.0240709072319248,1.13539794900555e-05,1.13539794899621e-05,1.13539794899996e-05,1.13539794900309e-05,0.0336705584868829,0.0271720366230939,0.0723679940198592,1.13539794899909e-05,1.13539794900214e-05,1.13539794901156e-05,1.13539794899502e-05,1.13539794900045e-05,1.13539794900347e-05,"DorothyDay_train11"
"DorothyDay_311",3.45155489367024e-05,3.45155489366744e-05,0.0269392107790321,3.45155489367687e-05,3.45155489366995e-05,0.0300511979561199,3.451554893668e-05,3.45155489367469e-05,3.4515548936737e-05,3.45155489366982e-05,0.162586240808879,3.45155489366985e-05,3.4515548936808e-05,3.45155489367443e-05,3.45155489366715e-05,3.45155489366837e-05,3.45155489367513e-05,3.45155489367069e-05,3.45155489367465e-05,3.45155489367193e-05,3.45155489367507e-05,3.45155489367778e-05,3.45155489367118e-05,3.45155489367279e-05,3.45155489367303e-05,0.0269986474821246,0.412964650862972,0.0526381229603357,3.45155489367143e-05,3.45155489367201e-05,3.45155489367683e-05,3.45155489367209e-05,3.45155489367127e-05,3.45155489367222e-05,0.035637170777277,3.4515548936718e-05,3.45155489366703e-05,3.45155489366598e-05,3.45155489367097e-05,0.0362748746361975,3.45155489367057e-05,3.45155489367964e-05,3.45155489367016e-05,0.214494746230656,3.45155489367236e-05,3.45155489367489e-05,3.45155489367058e-05,3.45155489367381e-05,3.4515548936703e-05,3.45155489367613e-05,"DorothyDay_train11"
"DorothyDay_6",1.28353108642528e-05,1.28353108642876e-05,1.28353108641638e-05,1.28353108642314e-05,1.28353108642238e-05,1.28353108641966e-05,1.28353108642429e-05,0.0425062002864801,1.28353108642799e-05,1.28353108642217e-05,1.28353108642645e-05,1.28353108642825e-05,1.28353108643051e-05,0.316960209548255,0.0172199093864322,1.28353108642769e-05,1.28353108642925e-05,1.28353108643098e-05,1.28353108641388e-05,1.28353108642749e-05,1.28353108642257e-05,0.0336931253498175,1.28353108642787e-05,1.28353108642939e-05,0.0490011906253179,0.0435680822030605,0.0205262427903851,1.28353108643039e-05,0.0887539718500754,1.28353108642526e-05,1.28353108643774e-05,0.0892700857802331,0.0327910261181095,1.28353108642056e-05,1.28353108641575e-05,1.28353108642087e-05,0.0518609834438402,1.28353108642826e-05,1.28353108642277e-05,1.28353108642383e-05,1.28353108642307e-05,1.28353108642685e-05,1.28353108642251e-05,0.200547554758905,1.28353108642295e-05,1.28353108641928e-05,1.2835310864307e-05,1.28353108641863e-05,1.28353108642776e-05,0.0128265113571111,"DorothyDay_train11"
"DorothyDay_144",3.09016729431443e-05,3.0901672943116e-05,3.09016729431091e-05,3.09016729431383e-05,3.09016729431143e-05,3.0901672943158e-05,3.090167294315e-05,3.0901672943176e-05,3.09016729431466e-05,3.0901672943189e-05,3.09016729430718e-05,3.09016729431092e-05,3.09016729430388e-05,0.044316222845091,3.09016729430764e-05,3.09016729431328e-05,3.090167294315e-05,3.09016729431374e-05,3.09016729431196e-05,3.0901672943183e-05,0.0533457911852196,3.09016729429994e-05,3.09016729431674e-05,3.0901672943146e-05,3.09016729431377e-05,3.09016729431153e-05,0.141800666833839,3.09016729431224e-05,3.09016729431526e-05,3.09016729431269e-05,3.09016729431363e-05,3.09016729431188e-05,3.09016729431359e-05,3.09016729431504e-05,3.09016729431914e-05,3.09016729431656e-05,0.0648637510623482,3.09016729430994e-05,3.09016729431454e-05,3.09016729431374e-05,3.09016729431575e-05,3.09016729431317e-05,3.09016729431481e-05,0.694282992791062,3.09016729431345e-05,3.09016729431594e-05,3.09016729431395e-05,3.09016729431341e-05,3.09016729431046e-05,3.09016729431321e-05,"DorothyDay_train11"
"DorothyDay_281",5.08105864312522e-05,5.08105864312336e-05,0.341551159115815,5.08105864312624e-05,5.08105864312166e-05,5.08105864311959e-05,5.08105864311952e-05,5.08105864312176e-05,5.08105864311574e-05,0.0419803348346094,0.0861905811646502,5.08105864312193e-05,5.08105864312221e-05,5.08105864312064e-05,5.08105864312017e-05,5.08105864312331e-05,5.08105864311698e-05,5.08105864312255e-05,5.08105864312255e-05,5.08105864312292e-05,5.0810586431202e-05,5.08105864312175e-05,5.08105864312592e-05,5.08105864312324e-05,5.08105864312044e-05,5.08105864312444e-05,0.36475834774455,5.08105864312229e-05,5.08105864312036e-05,0.0669119876675297,5.08105864312161e-05,5.08105864312025e-05,5.08105864312362e-05,5.08105864312388e-05,0.0526153640719635,5.08105864312004e-05,5.08105864311936e-05,5.08105864312551e-05,5.08105864312167e-05,5.08105864312346e-05,5.08105864312152e-05,0.0438073701843395,5.08105864312185e-05,5.0810586431169e-05,5.081058643122e-05,5.08105864312217e-05,5.08105864312023e-05,5.08105864312202e-05,5.0810586431281e-05,5.08105864312424e-05,"DorothyDay_train11"
"DorothyDay_131",2.18798480788875e-05,2.18798480788522e-05,0.0246039160732271,0.0422045350187687,2.18798480788571e-05,2.18798480788905e-05,2.18798480788679e-05,2.187984807886e-05,2.18798480788676e-05,2.18798480788311e-05,0.260934207657033,2.18798480788708e-05,2.18798480788509e-05,0.163223813705243,0.0278536628290393,0.0301000240566449,2.18798480788501e-05,2.18798480788376e-05,2.18798480788619e-05,2.18798480788939e-05,2.18798480788767e-05,2.18798480788079e-05,2.18798480789087e-05,2.18798480788501e-05,2.18798480789147e-05,2.18798480788653e-05,0.279658472617008,2.1879848078841e-05,2.18798480788231e-05,2.1879848078891e-05,2.18798480788648e-05,2.18798480788677e-05,2.18798480788966e-05,2.18798480788799e-05,2.18798480788329e-05,2.18798480789001e-05,0.0349850867705425,2.18798480788211e-05,2.1879848078876e-05,2.18798480788524e-05,2.18798480788982e-05,2.18798480788322e-05,0.0412881741347201,0.0942729132146192,2.18798480789044e-05,2.18798480788522e-05,2.18798480789038e-05,2.18798480788774e-05,2.18798480788845e-05,2.18798480788612e-05,"DorothyDay_train11"
"DorothyDay_336",8.12307853982803e-05,8.12307853982853e-05,8.12307853983308e-05,8.12307853983112e-05,8.12307853983076e-05,8.12307853982968e-05,8.12307853982685e-05,8.12307853983149e-05,8.12307853982985e-05,8.1230785398294e-05,8.1230785398273e-05,8.12307853982783e-05,8.1230785398318e-05,8.12307853982824e-05,8.12307853982864e-05,8.12307853982744e-05,0.0291897941996532,8.12307853983009e-05,8.12307853982813e-05,8.12307853983068e-05,8.12307853982752e-05,8.12307853983115e-05,8.12307853983066e-05,8.12307853982913e-05,8.12307853982939e-05,8.12307853982912e-05,8.12307853983052e-05,8.12307853983086e-05,8.12307853982826e-05,8.12307853982926e-05,8.12307853982825e-05,8.12307853983068e-05,8.1230785398282e-05,8.12307853982996e-05,8.12307853983107e-05,8.12307853983016e-05,8.12307853982881e-05,8.12307853982935e-05,8.12307853982931e-05,8.12307853983158e-05,8.12307853982961e-05,8.12307853982854e-05,8.12307853983217e-05,0.966911128101229,8.12307853982779e-05,8.12307853983067e-05,8.12307853983009e-05,8.12307853983038e-05,8.12307853982825e-05,8.12307853983266e-05,"DorothyDay_train11"
"DorothyDay_95",1.11897783944066e-05,0.0117238034885714,0.0120067764833883,1.11897783944232e-05,1.11897783944819e-05,1.11897783944365e-05,1.11897783944463e-05,1.11897783944008e-05,1.11897783944398e-05,1.11897783945769e-05,0.253315480685792,1.11897783944722e-05,1.11897783944909e-05,0.18637894213222,1.11897783944589e-05,1.11897783944024e-05,1.11897783944931e-05,1.11897783944303e-05,1.11897783944125e-05,1.11897783943915e-05,1.11897783944552e-05,0.0227209050442387,1.11897783944153e-05,1.11897783944972e-05,0.00338863884885223,1.11897783944923e-05,0.0134580620295841,1.11897783944568e-05,0.00399926761029517,1.11897783944165e-05,1.11897783945287e-05,0.049252183770659,1.11897783944492e-05,1.11897783944145e-05,1.11897783945278e-05,1.11897783944145e-05,0.131693845322408,1.1189778394427e-05,1.11897783944392e-05,1.11897783944447e-05,1.11897783943644e-05,1.1189778394528e-05,1.11897783944317e-05,0.311625693226608,1.11897783944025e-05,1.11897783944897e-05,1.11897783945061e-05,1.1189778394378e-05,1.11897783944174e-05,1.11897783944137e-05,"DorothyDay_train12"
"DorothyDay_221",2.92892986143415e-05,2.92892986144363e-05,2.92892986143691e-05,2.92892986143272e-05,2.92892986143807e-05,2.92892986143709e-05,0.0176089534875478,2.92892986143507e-05,2.9289298614404e-05,0.0310697262240861,0.642841246230121,0.035907990381715,2.92892986143749e-05,2.92892986143669e-05,2.92892986143304e-05,2.92892986143574e-05,2.92892986143692e-05,2.92892986143389e-05,2.9289298614388e-05,2.92892986143955e-05,2.9289298614415e-05,2.92892986143745e-05,2.92892986143788e-05,0.0281589425303573,2.92892986143514e-05,2.92892986143792e-05,0.188989844831619,2.92892986143665e-05,2.92892986143545e-05,2.92892986143721e-05,2.92892986143356e-05,2.92892986143529e-05,2.92892986143584e-05,2.92892986143907e-05,2.92892986144717e-05,2.92892986143779e-05,2.92892986143744e-05,0.033553170927664,2.92892986143569e-05,2.92892986144179e-05,2.9289298614394e-05,2.92892986143091e-05,2.92892986143667e-05,2.92892986141894e-05,2.92892986144375e-05,2.92892986143894e-05,2.92892986143669e-05,2.92892986143863e-05,0.0206399748450864,2.92892986143482e-05,"DorothyDay_train12"
"DorothyDay_642",9.50969366944612e-06,9.50969366945145e-06,0.022811353389978,9.50969366945638e-06,9.50969366949527e-06,9.50969366949735e-06,9.50969366954829e-06,9.50969366947424e-06,9.50969366944551e-06,0.0266498622435973,0.521006015651131,9.50969366954372e-06,9.50969366953522e-06,9.50969366954081e-06,0.0236284009367426,9.50969366951214e-06,0.0892694608279787,9.50969366944035e-06,9.50969366939437e-06,9.50969366948004e-06,9.50969366945299e-06,0.0151575335365036,9.50969366944874e-06,9.50969366952706e-06,9.50969366947899e-06,9.50969366946895e-06,0.11313296756208,9.50969366948041e-06,0.00732436630747251,9.50969366946717e-06,9.50969366943129e-06,0.0164024617994439,9.50969366945833e-06,9.50969366941102e-06,0.0162527335942014,9.50969366942956e-06,0.0771245291149987,9.5096936696556e-06,9.50969366947684e-06,9.5096936694417e-06,9.50969366946726e-06,9.50969366942745e-06,9.50969366943617e-06,9.50969366932094e-06,9.50969366943592e-06,9.50969366953391e-06,9.50969366950825e-06,9.50969366945038e-06,0.0708789466764326,9.50969366943847e-06,"DorothyDay_train12"
"DorothyDay_390",1.91054994526311e-05,1.91054994526945e-05,1.91054994526411e-05,1.91054994526845e-05,1.91054994527879e-05,1.91054994526091e-05,1.91054994525988e-05,1.91054994526922e-05,1.91054994526382e-05,1.91054994526663e-05,1.91054994526716e-05,1.91054994526385e-05,1.91054994526428e-05,1.91054994527153e-05,0.165644149200313,0.0698557009995441,1.91054994526371e-05,1.91054994527081e-05,1.9105499452699e-05,0.0689722364849852,0.0232553323907248,1.91054994526795e-05,1.91054994526622e-05,1.91054994526537e-05,1.91054994526059e-05,0.0459645577760311,0.482608832875944,1.91054994526488e-05,1.91054994526029e-05,1.91054994527064e-05,1.91054994526543e-05,1.91054994526299e-05,1.91054994525997e-05,1.91054994526388e-05,1.91054994526914e-05,1.91054994526295e-05,0.0581977671887092,0.0140196205876794,1.91054994526721e-05,1.91054994526662e-05,1.91054994526793e-05,1.91054994526035e-05,1.91054994526339e-05,1.91054994526316e-05,0.0266336568419922,1.91054994525965e-05,1.91054994526849e-05,1.91054994526836e-05,1.91054994526561e-05,0.0440839256759706,"DorothyDay_train12"
