"","t.cvCosineSim.","groupName"
"X0",0.990000283765495,"PastorAnderson_train3"
"V2",0.98948764874417,"PastorAnderson_train3"
"V3",0.990131591101805,"PastorAnderson_train3"
"V4",0.988436555218563,"PastorAnderson_train3"
"V5",0.988909621152282,"PastorAnderson_train3"
"V6",0.98954699897645,"PastorAnderson_train3"
"V7",0.988901741270367,"PastorAnderson_train3"
"V8",0.989220107343235,"PastorAnderson_train3"
"V9",0.989327661386785,"PastorAnderson_train3"
"V10",0.988221228289988,"PastorAnderson_train3"
