"","t.cvCosineSim.","groupName"
"X0",0.990332239561732,"PastorAnderson_train10"
"V2",0.989270769699966,"PastorAnderson_train10"
"V3",0.990158701333987,"PastorAnderson_train10"
"V4",0.991183241839468,"PastorAnderson_train10"
"V5",0.990360628047409,"PastorAnderson_train10"
"V6",0.987611172219754,"PastorAnderson_train10"
"V7",0.990463541300763,"PastorAnderson_train10"
"V8",0.99112008029233,"PastorAnderson_train10"
"V9",0.987900103726797,"PastorAnderson_train10"
"V10",0.991104385589826,"PastorAnderson_train10"
