"","t.cvCosineSim.","groupName"
"X0",0.989176740251062,"PastorAnderson_train14"
"V2",0.988620441964748,"PastorAnderson_train14"
"V3",0.987972217920044,"PastorAnderson_train14"
"V4",0.987965016677578,"PastorAnderson_train14"
"V5",0.988559346024351,"PastorAnderson_train14"
"V6",0.987568684973396,"PastorAnderson_train14"
"V7",0.988234528656364,"PastorAnderson_train14"
"V8",0.988241549913868,"PastorAnderson_train14"
"V9",0.987469137677554,"PastorAnderson_train14"
"V10",0.988076092101419,"PastorAnderson_train14"
