"","t.cvCosineSim.","groupName"
"X0",0.98877314051701,"PastorAnderson_train7"
"V2",0.988343581111836,"PastorAnderson_train7"
"V3",0.989387173400368,"PastorAnderson_train7"
"V4",0.98736155817558,"PastorAnderson_train7"
"V5",0.988449570187603,"PastorAnderson_train7"
"V6",0.989504083732505,"PastorAnderson_train7"
"V7",0.989239053583516,"PastorAnderson_train7"
"V8",0.985778848127586,"PastorAnderson_train7"
"V9",0.988478142501693,"PastorAnderson_train7"
"V10",0.987779665088534,"PastorAnderson_train7"
