"","t.cvCosineSim.","groupName"
"X0",0.98816495584299,"PastorAnderson_train3"
"V2",0.988411427105983,"PastorAnderson_train3"
"V3",0.989310700199258,"PastorAnderson_train3"
"V4",0.988019122527781,"PastorAnderson_train3"
"V5",0.987756754547687,"PastorAnderson_train3"
"V6",0.98631461778247,"PastorAnderson_train3"
"V7",0.98776081741373,"PastorAnderson_train3"
"V8",0.989754729402351,"PastorAnderson_train3"
"V9",0.988233953948993,"PastorAnderson_train3"
"V10",0.987499050771411,"PastorAnderson_train3"
