"","t.cvCosineSim.","groupName"
"X0",0.990366155708793,"PastorAnderson_train4"
"V2",0.989904821167118,"PastorAnderson_train4"
"V3",0.988451485365748,"PastorAnderson_train4"
"V4",0.989782407480753,"PastorAnderson_train4"
"V5",0.989471825385248,"PastorAnderson_train4"
"V6",0.990656790931798,"PastorAnderson_train4"
"V7",0.990366990548953,"PastorAnderson_train4"
"V8",0.98762558527392,"PastorAnderson_train4"
"V9",0.990467721332888,"PastorAnderson_train4"
"V10",0.989638895450269,"PastorAnderson_train4"
