"","Actual","ANN","OL","RF","SVM"
"1",4,3.17564122556648,0,4.21982544813587,3.87019593598487
"2",4,4.2490698182846,0,5.53661699102412,4.21431566212637
"3",4,4.23442812560143,0,3.68317295886015,4.00580951156335
"4",4,4.10546287214363,0,3.97346269402539,4.13455523049726
"5",4,4.23668717261572,0,4.13286630557169,3.77650378580236
"6",4,4.23600070640281,0,3.65141476624437,3.93876277245838
"7",4,4.24915063630602,0,4.25784977932897,3.90936518219652
"8",4,4.24818471805695,0,4.34932880953978,3.94697073317856
"9",4,4.2481627077359,0,4.18969603442017,3.89412413521536
"10",4,4.24774767874436,0,3.99031369712323,4.08455004753288
"11",4,1.69045506538973,0,2.41502564102564,2.24436798119616
"12",4,4.24901399612688,0,4.13303868044581,4.03733082587846
"13",4,4.24785089120367,0,4.110877466687,3.99679593182501
"14",4,4.08452997760167,0,3.78246269402539,4.08186079629824
"15",4,4.0856369314338,0,3.88541507497777,4.0861898586129
"16",4,4.24765264965413,0,4.11548694573126,4.11795860580724
"17",4,3.2132446481444,0,3.90171111149212,4.02648421227638
"18",4,4.23721047873776,0,3.56208143291104,3.85716533052919
"19",4,4.24912554493939,0,4.63227317708132,3.87614809298273
"20",4,4.22527003184008,0,3.38738461186292,3.79615959471307
"21",4,4.24915025616897,0,4.16547593095512,3.87118903534233
"22",4,4.23293915367139,0,4.16056554797062,4.08712027764807
"23",4,3.45122333753253,0,4.58967647945749,4.37477239631925
"78",4,4.2466623691602,0,3.97711064612649,3.83836458380454
"79",4,4.24896710454244,0,4.11622049862762,3.93852989368594
"80",4,3.09097581281338,0,3.35944893739171,3.59728327534167
"81",4,3.91830833335483,0,4.26989681464333,3.80718939245052
"82",4,4.00730785518326,0,4.64409125908778,3.69756457262133
"83",4,4.24737267600395,0,3.81566022353321,3.94046208113688
"84",4,4.23286947389557,0,4.09756554797062,4.09483653877962
"85",4,4.22733704378695,0,3.38774373884705,3.78977104792708
"86",4,4.2107008438224,0,4.02528531693003,4.08210393116287
"87",4,4.24731869763286,0,4.049811017184,3.8972964980711
"88",4,4.24584685742036,0,4.13009718523235,3.87967167154512
"89",4,4.23342479311378,0,4.25082395133197,4.05599131968767
"90",4,4.24690674859041,0,4.11924686724968,3.92829105319558
"91",4,1.89528140445442,0,2.03916497881204,1.82108499993143
"92",4,4.22202293959002,0,3.96784610560082,4.11384462060735
"93",4,4.22976797813707,0,4.63940700200163,4.15201062678237
"94",4,4.2246377293862,0,4.13094238975916,4.01958712401307
"136",8,4.24899033292099,0,3.29888695748696,4.02333876283078
"139",3,4.24917253220902,0,4.55741471439391,4.00282645973482
"140",3,4.24914382394682,0,4.12151644599564,3.96506548504991
"141",3,4.22498270585115,0,3.87552926162374,3.76862530616191
"148",2,4.2343192935738,0,4.15782395133197,4.00300589182817
