"","t.cvCosineSim.","groupName"
"X0",0.988427520665254,"PastorAnderson_train15"
"V2",0.988816529700276,"PastorAnderson_train15"
"V3",0.988242436972142,"PastorAnderson_train15"
"V4",0.987481951178192,"PastorAnderson_train15"
"V5",0.9916363476336,"PastorAnderson_train15"
"V6",0.989352415517731,"PastorAnderson_train15"
"V7",0.990755150337248,"PastorAnderson_train15"
"V8",0.987657729103899,"PastorAnderson_train15"
"V9",0.990199926138785,"PastorAnderson_train15"
"V10",0.988788076752224,"PastorAnderson_train15"
