"","t.cvCosineSim.","groupName"
"X0",0.990211468885769,"PastorAnderson_train5"
"V2",0.989536836784409,"PastorAnderson_train5"
"V3",0.990152991354191,"PastorAnderson_train5"
"V4",0.988698710744537,"PastorAnderson_train5"
"V5",0.988391669325035,"PastorAnderson_train5"
"V6",0.989407448479418,"PastorAnderson_train5"
"V7",0.989730457883225,"PastorAnderson_train5"
"V8",0.991351215379937,"PastorAnderson_train5"
"V9",0.99042132165264,"PastorAnderson_train5"
"V10",0.989799098738739,"PastorAnderson_train5"
