"","t.cvCosineSim.","groupName"
"X0",0.989261410820349,"PastorAnderson_train7"
"V2",0.988585142058182,"PastorAnderson_train7"
"V3",0.989123688679968,"PastorAnderson_train7"
"V4",0.987669828203174,"PastorAnderson_train7"
"V5",0.98864862527307,"PastorAnderson_train7"
"V6",0.989099865806205,"PastorAnderson_train7"
"V7",0.989025378510657,"PastorAnderson_train7"
"V8",0.985645992008469,"PastorAnderson_train7"
"V9",0.988015736494915,"PastorAnderson_train7"
"V10",0.987780896330748,"PastorAnderson_train7"
