"","t.cvCosineSim.","groupName"
"X0",0.989512758465317,"PastorAnderson_train9"
"V2",0.988774511398445,"PastorAnderson_train9"
"V3",0.988179460344225,"PastorAnderson_train9"
"V4",0.988352194375328,"PastorAnderson_train9"
"V5",0.98888419035764,"PastorAnderson_train9"
"V6",0.985806805202071,"PastorAnderson_train9"
"V7",0.989651500613406,"PastorAnderson_train9"
"V8",0.990179314311342,"PastorAnderson_train9"
"V9",0.988780975666289,"PastorAnderson_train9"
"V10",0.991982154567382,"PastorAnderson_train9"
