"","t.cvCosineSim.","groupName"
"X0",0.98955419420421,"PastorAnderson_train1"
"V2",0.988037411195032,"PastorAnderson_train1"
"V3",0.989683940296427,"PastorAnderson_train1"
"V4",0.987918359266958,"PastorAnderson_train1"
"V5",0.989419352717963,"PastorAnderson_train1"
"V6",0.988437128892649,"PastorAnderson_train1"
"V7",0.990390087170978,"PastorAnderson_train1"
"V8",0.989988324826681,"PastorAnderson_train1"
"V9",0.988841129961511,"PastorAnderson_train1"
"V10",0.992408740526838,"PastorAnderson_train1"
