"","t.cvCosineSim.","groupName"
"X0",0.989435915773513,"PastorAnderson_train4"
"V2",0.989015654576587,"PastorAnderson_train4"
"V3",0.989689233978833,"PastorAnderson_train4"
"V4",0.987701636295945,"PastorAnderson_train4"
"V5",0.988448063044712,"PastorAnderson_train4"
"V6",0.987612751270453,"PastorAnderson_train4"
"V7",0.989417194275036,"PastorAnderson_train4"
"V8",0.990926878437914,"PastorAnderson_train4"
"V9",0.987812244306362,"PastorAnderson_train4"
"V10",0.989987011387548,"PastorAnderson_train4"
