"","t.cvCosineSim.","groupName"
"X0",0.990424965956832,"PastorAnderson_train10"
"V2",0.989306377900061,"PastorAnderson_train10"
"V3",0.99022285084384,"PastorAnderson_train10"
"V4",0.991204666573917,"PastorAnderson_train10"
"V5",0.990577675906456,"PastorAnderson_train10"
"V6",0.987859081094117,"PastorAnderson_train10"
"V7",0.990460684113443,"PastorAnderson_train10"
"V8",0.991462114325893,"PastorAnderson_train10"
"V9",0.988284264520853,"PastorAnderson_train10"
"V10",0.991057664827536,"PastorAnderson_train10"
