"","t.cvCosineSim.","groupName"
"X0",0.989582864230204,"PastorAnderson_train8"
"V2",0.98968676698975,"PastorAnderson_train8"
"V3",0.989582700430796,"PastorAnderson_train8"
"V4",0.98981452458572,"PastorAnderson_train8"
"V5",0.991085718888165,"PastorAnderson_train8"
"V6",0.988690728481268,"PastorAnderson_train8"
"V7",0.990098201653652,"PastorAnderson_train8"
"V8",0.990453652006403,"PastorAnderson_train8"
"V9",0.988130773786176,"PastorAnderson_train8"
"V10",0.989374702896058,"PastorAnderson_train8"
