"","t.cvCosineSim.","groupName"
"X0",0.989843374060688,"PastorAnderson_train3"
"V2",0.989548767654322,"PastorAnderson_train3"
"V3",0.990174358357381,"PastorAnderson_train3"
"V4",0.988969008213492,"PastorAnderson_train3"
"V5",0.988266815295171,"PastorAnderson_train3"
"V6",0.989508946187645,"PastorAnderson_train3"
"V7",0.988849317843418,"PastorAnderson_train3"
"V8",0.989315407394067,"PastorAnderson_train3"
"V9",0.989577225701263,"PastorAnderson_train3"
"V10",0.98854499657114,"PastorAnderson_train3"
