"","t.cvCosineSim.","groupName"
"X0",0.988664228608607,"PastorAnderson_train13"
"V2",0.987097891156543,"PastorAnderson_train13"
"V3",0.987187760075241,"PastorAnderson_train13"
"V4",0.988111541964085,"PastorAnderson_train13"
"V5",0.98804172849845,"PastorAnderson_train13"
"V6",0.98696694847827,"PastorAnderson_train13"
"V7",0.988031437557994,"PastorAnderson_train13"
"V8",0.988742902248562,"PastorAnderson_train13"
"V9",0.989355386920992,"PastorAnderson_train13"
"V10",0.987421342679832,"PastorAnderson_train13"
