"","t.cvCosineSim.","groupName"
"X0",0.989257307682465,"PastorAnderson_train12"
"V2",0.989125809169784,"PastorAnderson_train12"
"V3",0.989070685877246,"PastorAnderson_train12"
"V4",0.987595172299557,"PastorAnderson_train12"
"V5",0.988814471027483,"PastorAnderson_train12"
"V6",0.989184675591797,"PastorAnderson_train12"
"V7",0.991104782364711,"PastorAnderson_train12"
"V8",0.992137473190125,"PastorAnderson_train12"
"V9",0.989495570717228,"PastorAnderson_train12"
"V10",0.989496527785971,"PastorAnderson_train12"
