"","t.cvCosineSim.","groupName"
"X0",0.98841761479677,"PastorAnderson_train16"
"V2",0.98682761182073,"PastorAnderson_train16"
"V3",0.988004984868175,"PastorAnderson_train16"
"V4",0.98770091699746,"PastorAnderson_train16"
"V5",0.985120099747194,"PastorAnderson_train16"
"V6",0.988236117884669,"PastorAnderson_train16"
"V7",0.986831971412513,"PastorAnderson_train16"
"V8",0.987089214246368,"PastorAnderson_train16"
"V9",0.988540714984636,"PastorAnderson_train16"
"V10",0.987771140472159,"PastorAnderson_train16"
