"","t.cvCosineSim.","groupName"
"X0",0.98877267646613,"PastorAnderson_train2"
"V2",0.988504078007845,"PastorAnderson_train2"
"V3",0.988266712351109,"PastorAnderson_train2"
"V4",0.987477025985986,"PastorAnderson_train2"
"V5",0.987667547046152,"PastorAnderson_train2"
"V6",0.989400571853657,"PastorAnderson_train2"
"V7",0.988454945193258,"PastorAnderson_train2"
"V8",0.988574059905891,"PastorAnderson_train2"
"V9",0.988444987204955,"PastorAnderson_train2"
"V10",0.987615128165354,"PastorAnderson_train2"
