"","t.cvCosineSim.","groupName"
"X0",0.988731476553633,"PastorAnderson_train14"
"V2",0.988044336042038,"PastorAnderson_train14"
"V3",0.987616353682498,"PastorAnderson_train14"
"V4",0.987344970498038,"PastorAnderson_train14"
"V5",0.988809772337948,"PastorAnderson_train14"
"V6",0.987001810305284,"PastorAnderson_train14"
"V7",0.988406846674068,"PastorAnderson_train14"
"V8",0.988069367971719,"PastorAnderson_train14"
"V9",0.988640151820003,"PastorAnderson_train14"
"V10",0.987330012616693,"PastorAnderson_train14"
