,cocowindow,startCount,netAngle,cvWindow,rfAccuracy,rfMae,svmAccuracy,svmMae
0,2,0,30,2,0.8867924528301887,0.3179245283018869,0.8490566037735849,0.4968282104499218
1,2,0,30,3,0.8679245283018868,0.32641509433962274,0.8490566037735849,0.4846485281783837
2,2,0,30,4,0.8679245283018868,0.3330188679245284,0.8490566037735849,0.4808037206828392
3,2,0,30,5,0.8679245283018868,0.3405660377358492,0.8584905660377359,0.4823243206367726
4,2,0,30,6,0.8773584905660378,0.3358490566037737,0.8490566037735849,0.4802642671471576
5,2,0,45,2,0.8773584905660378,0.3320754716981133,0.8396226415094341,0.507219459923449
6,2,0,45,3,0.8773584905660378,0.3245283018867925,0.8490566037735849,0.4997103999954918
7,2,0,45,4,0.8679245283018868,0.3377358490566039,0.8584905660377359,0.4943507668424578
8,2,0,45,5,0.8773584905660378,0.34056603773584915,0.8584905660377359,0.4981057016289043
9,2,0,45,6,0.8773584905660378,0.33396226415094343,0.8490566037735849,0.4970365572444499
10,2,0,60,2,0.8867924528301887,0.31603773584905664,0.8490566037735849,0.4997935844837207
11,2,0,60,3,0.8773584905660378,0.32735849056603783,0.8490566037735849,0.4917681810544943
12,2,0,60,4,0.8679245283018868,0.3377358490566038,0.8396226415094341,0.4854091386007925
13,2,0,60,5,0.8773584905660378,0.3377358490566038,0.8396226415094341,0.4896580492591505
14,2,0,60,6,0.8773584905660378,0.33207547169811324,0.8396226415094341,0.4888283947094057
15,2,0,75,2,0.8773584905660378,0.3226415094339624,0.8679245283018868,0.5002274425093106
16,2,0,75,3,0.8773584905660378,0.31886792452830204,0.8584905660377359,0.4895663802615619
17,2,0,75,4,0.8679245283018868,0.3386792452830189,0.8584905660377359,0.4864855779486003
18,2,0,75,5,0.8679245283018868,0.3396226415094341,0.8584905660377359,0.4854414178382669
19,2,0,75,6,0.8679245283018868,0.33396226415094343,0.8584905660377359,0.4850488605482837
20,3,0,30,2,0.8962264150943396,0.3122641509433963,0.8679245283018868,0.4842842530482966
21,3,0,30,3,0.8962264150943396,0.3122641509433963,0.8584905660377359,0.4864721688993892
22,3,0,30,4,0.8962264150943396,0.3216981132075473,0.8584905660377359,0.4864498056390035
23,3,0,30,5,0.8962264150943396,0.3216981132075473,0.8584905660377359,0.4921629730039188
24,3,0,30,6,0.8867924528301887,0.3245283018867925,0.8584905660377359,0.491003258913243
25,3,0,45,2,0.8962264150943396,0.2962264150943397,0.8490566037735849,0.4920832114373616
