"","Actual","ANN","OL","RF","SVM"
"1",4,3.84328889255597,0,4.3805,4.61663012005222
"2",4,3.84328889255597,0,4.94783333333333,5.48693334408598
"3",4,3.84328889255597,0,4.4145,4.55993032302235
"4",4,3.84328889255597,0,5.08916666666667,4.77336995775599
"5",4,3.84328889255597,0,4.4675,4.70433889774879
"6",4,3.84328889255597,0,4.466,5.44681725013705
"7",4,3.84328889255597,0,4.1975,4.86321361154412
"8",4,3.84328889255597,0,5.0925,6.00473680346495
"9",4,3.84328889255597,0,4.885,5.22209489208395
"10",4,3.84328889255597,0,5.18083333333333,6.0088184233974
"11",4,3.84328889255597,0,4.059,4.31309004496983
"12",4,3.84328889255597,0,4.148,4.23818834967814
"13",4,3.84328889255597,0,4.44,5.55878870275096
"14",4,3.84328889255597,0,4.4645,4.6908500412004
"15",4,3.84328889255597,0,4.0665,4.828909254352
"16",4,3.84328889255597,0,4.386,5.93300308418869
"17",4,3.84328889255597,0,4.0255,4.61433528004455
"18",4,3.84328889255597,0,4.9085,5.85317880488234
"19",4,3.84328889255597,0,4.46366666666667,5.23662736702407
"20",4,3.84328889255597,0,5.0325,5.25131316460956
"21",4,3.84328889255597,0,4.4425,4.60908688212697
"22",4,3.84328889255597,0,4.296,4.39831250197831
"23",4,3.84328889255597,0,3.937,4.48624141790797
"78",4,3.84328889255597,0,3.756,3.87815272371248
"79",4,3.84328889255597,0,3.946,3.87815272371248
"80",4,3.84328889255597,0,3.36666666666667,3.87815272371248
"81",4,3.84328889255597,0,3.416,3.87815272371248
"82",4,3.84328889255597,0,3.68066666666667,3.87815272371248
"83",4,3.84328889255597,0,3.90733333333333,3.87815272371248
"84",4,3.84328889255597,0,3.77466666666667,3.87815272371248
"85",4,3.84328889255597,0,3.8405,3.87815272371248
"86",4,3.84328889255597,0,3.786,3.87815272371248
"87",4,3.84328889255597,0,3.75,3.87815272371248
"88",4,3.84328889255597,0,3.718,3.87815272371248
"89",4,3.84328889255597,0,3.94933333333333,3.87815272371248
"90",4,3.84328889255597,0,3.3775,3.81647833516088
"91",4,3.84328889255597,0,1.65533333333333,1.77774502844775
"92",4,3.84328889255597,0,2.95583333333333,2.23032824236151
"93",4,3.84328889255597,0,3.81716666666667,3.25074849438266
"94",4,3.84328889255597,0,3.61683333333333,2.7960848455454
"136",8,3.84328889255597,0,3.16266666666667,2.27787790244428
"139",3,3.84328889255597,0,3.1135,3.86556961654325
"140",3,3.84328889255597,0,2.867,3.18050114611977
"141",3,3.84328889255597,0,4.03716666666667,4.29760197936196
"148",2,3.84328889255597,0,3.05883333333333,1.82133500395633
"149",2,3.84328889255597,0,2.83066666666667,2.09198565598395
"150",2,3.84328889255597,0,2.97733333333333,2.13638551171645
"151",2,3.84328889255597,0,3.19016666666667,2.15199728538976
"152",2,3.84328889255597,0,3.0815,2.1375615211107
"153",2,3.84328889255597,0,2.65716666666667,2.23986636241297
"154",2,3.84328889255597,0,3.107,2.19163260867212
"171",6,3.84328889255597,0,4.08516666666667,3.36844517346033
"172",6,3.84328889255597,0,3.78166666666667,3.29763300604168
"173",6,3.84328889255597,0,4.16233333333333,4.21266129157841
